chunk_id,source_doc,page,chunk_index,text
82f7113c-2e8a-4db2-9ccd-b0c8987bef11,hackrx-1.pdf,1,0,"UIN- BAJHLIP23020V012223 Global Health Care/ Policy Wordings/Page 1 Bajaj Allianz General Insurance Co. Ltd. Bajaj Allianz House, Airport Road, Yerawada, Pune - 411 006. Reg. No.: 113 For more details, log on to: www.bajajallianz.com | E-mail: bagichelp@bajajallianz.co.in or Call at: Sales - 1800 209 0144 / Service - 1800 209 5858 (Toll Free No.) GLOBAL HEALTH CARE Policy Wordings UIN- BAJHLIP23020V012223 SECTION A) PREAMBLE Whereas the Insured described in the Policy Schedule hereto (hereinafter called the ‘Insured’ or “Policyholder” or “Insured Person”) has made to Bajaj Allianz General Insurance Company Limited (hereinafter called the “Company” or “Insurer” or “Insurance Company”) a proposal or Proposal as mentioned in the transcript of the Proposal, which shall be the basis of this Contract and is deemed to be incorporated herein, containing certain undertakings, declarations, information/particulars and statements, which is hereby agreed to be the basis of this Contract and be considered as incorporated herein, for the insurance Contract hereinafter contained and has paid the premium specified in the Policy Schedule hereto as consideration for such insurance Contract, now the Company agrees, subject always to the Policy Schedule and the following terms, conditions, exclusions, and limitations of the Policy, and in excess of the amount of the Deductible/Co-Payment, to indemnify the Insured in respect of an admissible claim in the manner and to the extent hereinafter stated. SECTION B) DEFINITIONS - STANDARD DEFINITIONS Words or terms mentioned below have the meaning ascribed to them wherever they appear in this Policy, and references to the singular or to the masculine, include references to the plural or to the feminine wherever the context permits. If any word starts with Capital alphabet but is not defined in the Standard Definitions or Specific Definitions, then such word shall be interpreted as per the headings of the respective clauses/points in these Policy Wordings. 1. Accident:- An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means. 2. Any one Illness:- Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken. 3. AYUSH Hospital:- An AYUSH Hospital is a healthcare facility wherein medical/surgical/para-surgical treatment procedures and interventions are carried out by AYUSH Medical Practitioner(s) comprising of any of the following: a. Central or State Government AYUSH Hospital; or b. Teaching Hospital attached to AYUSH College recognized by the Central Government/Central Council of Indian Medicine/Central Council for Homeopathy; or c. AYUSH Hospital, standalone or co-located with Inpatient healthcare facility of any recognized system of medicine, registered with the local authorities, wherever applicable, and is under the supervision of a qualified registered AYUSH Medical Practitioner and must comply with all the following criterion: i. Having at least 5 Inpatient beds; ii. Having qualified AYUSH Medical Practitioner in charge round the clock; iii. Having dedicated AYUSH therapy sections as required and/or has equipped operation theatre where surgical procedures are to be carried out; iv.Maintaining daily records of the patients and"
1e6239e2-cbc0-488c-95ea-7cb0e788906d,hackrx-1.pdf,1,1,"the Central Government/Central Council of Indian Medicine/Central Council for Homeopathy; or c. AYUSH Hospital, standalone or co-located with Inpatient healthcare facility of any recognized system of medicine, registered with the local authorities, wherever applicable, and is under the supervision of a qualified registered AYUSH Medical Practitioner and must comply with all the following criterion: i. Having at least 5 Inpatient beds; ii. Having qualified AYUSH Medical Practitioner in charge round the clock; iii. Having dedicated AYUSH therapy sections as required and/or has equipped operation theatre where surgical procedures are to be carried out; iv.Maintaining daily records of the patients and making them accessible to the Insurance Company’s authorized representative. 4. AYUSH Day Care Centre:- AYUSH Day Care Centre means and includes Community Health Centre (CHC), Primary Health Centre (PHC), Dispensary, Clinic, Polyclinic or any such health centre which is registered with the local authorities, wherever applicable and having facilities for carrying out treatment procedures and medical or surgical/para-surgical interventions or both under the supervision of registered AYUSH Medical Practitioner (s) on Day Care Treatment basis without Inpatient services and must comply with all the following criterion: i. Having qualified registered AYUSH Medical Practitioner(s) in charge; ii. Having dedicated AYUSH therapy sections as required and/or has equipped operation theatre where surgical procedures are to be carried out; iii. Maintaining daily records of the patients and making them accessible to the Insurance Company’s authorized representative."
4066feb8-183c-4e0d-ad4d-edcbfbb2ab6f,hackrx-1.pdf,2,0,"UIN- BAJHLIP23020V012223 Global Health Care/ Policy Wordings/Page 2 Bajaj Allianz General Insurance Co. Ltd. Bajaj Allianz House, Airport Road, Yerawada, Pune - 411 006. Reg. No.: 113 For more details, log on to: www.bajajallianz.com | E-mail: bagichelp@bajajallianz.co.in or Call at: Sales - 1800 209 0144 / Service - 1800 209 5858 (Toll Free No.) GLOBAL HEALTH CARE 5. Cashless Facility:- Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved. 6. Condition Precedent:- Condition Precedent means a Policy term or condition upon which the Insurer's liability under the Policy is conditional upon. 7. Congenital Anomaly:- Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body 8. Co-Payment:- A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured. 9. Cumulative Bonus:- Cumulative Bonus means any increase or addition in the Sum Insured granted by the insurer without an associated increase in premium. 10. Day Care Centre:- A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment; ii. has qualified Medical Practitioner (s) in charge; iii. has a fully equipped operation theatre of its own where surgical procedures are carried out; iv. maintains daily records of patients and will make these accessible to the Insurance Company’s authorized personnel. 11. Day Care Treatment:- Day care treatment means medical treatment, and/or surgical procedure which is: i. undertaken under General or Local Anesthesia in a Hospital/Day Care Centre in less than 24 hrs because of technological advancement, and ii. Which would have otherwise required a Hospitalization of more than 24 hours. Treatment normally taken on an out-patient basis is not included in the scope of this definition. 12. Deductible:- Deductible means a cost sharing requirement under a health insurance Policy that provides that the insurer will not be liable for a specified amount in case of indemnity policies and for a specified number of days/hours in case of Hospital cash policies which will apply before any benefits are payable by the insurer. A Deductible does not reduce the Sum Insured. 13. Dental Treatment:- Dental Treatment means a treatment related to teeth or"
1a6b4549-35b1-4e8b-8fba-e376e1410f84,hackrx-1.pdf,2,1,"otherwise required a Hospitalization of more than 24 hours. Treatment normally taken on an out-patient basis is not included in the scope of this definition. 12. Deductible:- Deductible means a cost sharing requirement under a health insurance Policy that provides that the insurer will not be liable for a specified amount in case of indemnity policies and for a specified number of days/hours in case of Hospital cash policies which will apply before any benefits are payable by the insurer. A Deductible does not reduce the Sum Insured. 13. Dental Treatment:- Dental Treatment means a treatment related to teeth or structures supporting teeth including examinations, fillings (where appropriate), crowns, extractions and surgery. 14. Disclosure to information norm:- The Policy shall be void and all premium paid thereon shall be forfeited to the Company, in the event of misrepresentation, mis-description or non-disclosure of any material fact. 15. Emergency Care:- Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person’s health."
1b777416-a91a-4a69-b3c7-d786df968078,hackrx-1.pdf,3,0,"UIN- BAJHLIP23020V012223 Global Health Care/ Policy Wordings/Page 3 Bajaj Allianz General Insurance Co. Ltd. Bajaj Allianz House, Airport Road, Yerawada, Pune - 411 006. Reg. No.: 113 For more details, log on to: www.bajajallianz.com | E-mail: bagichelp@bajajallianz.co.in or Call at: Sales - 1800 209 0144 / Service - 1800 209 5858 (Toll Free No.) GLOBAL HEALTH CARE 16. Grace Period:- Grace period means the specified period of time immediately following the premium due date during which a payment can be made to renew or continue a Policy in force without loss of continuity benefits such as waiting periods and coverage of pre-existing diseases. Coverage is not available for the period for which no premium is received. 17. Hospital:- A Hospital means any institution established for Inpatient care and Day Care Treatment of Illness and/or injuries and which has been registered as a Hospital with the local authorities under the Clinical Establishments (Registration and Regulation) Act, 2010 OR under the enactments specified under the Schedule of Section 56(1) of the said Act OR complies with all minimum criteria as under: i. has qualified nursing staff under its employment round the clock; ii. has at least 10 Inpatient beds in towns having a population of less than 10,00,000 and at least 15 Inpatient beds in all other places; iii. has qualified Medical Practitioner(s) in charge round the clock; iv. has a fully equipped operation theatre of its own where surgical procedures are carried out; v. maintains daily records of patients and makes these accessible to the Insurance Company’s authorized personnel. 18. Hospitalization:- Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours. 19. Illness:- Illness means a sickness or a disease or pathological condition leading to the impairment of normal physiological function and requires medical treatment. a. Acute condition - Acute condition is a disease, Illness or Injury that is likely to respond quickly to treatment which aims to return the person to his or her state of health immediately before suffering the disease/Illness/Injury which leads to full recovery. b. Chronic condition – A chronic condition is defined as a disease, Illness, or Injury that has one or more of the following characteristics: a. it needs ongoing or long-term monitoring through consultations, examinations, check-ups, and /or tests b. it needs ongoing or long-term control for relief of symptoms c. it requires rehabilitation for the patient or for the patient to be specially trained to cope with it d. it continues indefinitely e. it recurs or is likely to recur. 20. Injury:- Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner. 21. Inpatient Care:- Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event."
ecc48269-a93f-4875-a89a-5adf6694fb56,hackrx-1.pdf,3,1,"b. it needs ongoing or long-term control for relief of symptoms c. it requires rehabilitation for the patient or for the patient to be specially trained to cope with it d. it continues indefinitely e. it recurs or is likely to recur. 20. Injury:- Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner. 21. Inpatient Care:- Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event. 22. Intensive Care Unit:- Intensive Care Unit means an identified section, ward or wing of a Hospital which is under the constant supervision of a dedicated Medical Practitioner(s), and which is specially equipped for the continuous monitoring and treatment of patients who are in a critical condition, or require life support facilities and where the level of care and supervision is considerably more sophisticated and intensive than in the ordinary and other wards. 23. ICU Charges:- ICU (Intensive Care Unit) Charges means the amount charged by a Hospital towards ICU expenses which shall include the expenses for ICU bed, general medical support services provided to any ICU patient including monitoring devices, critical care nursing and intensivist charges. 24. Kidney Failure Requiring Regular Dialysis:- End stage renal disease presenting as chronic irreversible failure of both kidneys to function, as a result of which either regular renal dialysis (hemodialysis or peritoneal dialysis) is instituted or renal transplantation is carried out. Diagnosis has to be confirmed by a Specialist Medical Practitioner."
1c8b1591-cf4f-4e3b-bdc1-d97ebf62fe78,hackrx-1.pdf,4,0,"UIN- BAJHLIP23020V012223 Global Health Care/ Policy Wordings/Page 4 Bajaj Allianz General Insurance Co. Ltd. Bajaj Allianz House, Airport Road, Yerawada, Pune - 411 006. Reg. No.: 113 For more details, log on to: www.bajajallianz.com | E-mail: bagichelp@bajajallianz.co.in or Call at: Sales - 1800 209 0144 / Service - 1800 209 5858 (Toll Free No.) GLOBAL HEALTH CARE 25. Maternity expenses:- Maternity expenses means; a. medical treatment expenses traceable to childbirth (including complicated deliveries and caesarean sections incurred during Hospitalization); b. expenses towards lawful medical termination of pregnancy during the Policy Period. 26. Medical Advice:- Medical Advice means any consultation or advice from a Medical Practitioner including the issuance of any prescription or follow up prescription. 27. Medical Expenses:- Medical Expenses means those expenses that an Insured has necessarily and actually incurred for medical treatment on account of Illness or Accident on the advice of a Medical Practitioner, as long as these are no more than would have been payable if the Insured had not been Insured and no more than other Hospitals or Medical Practitioners in the same locality would have charged for the same medical treatment. 28. Medical Practitioner/Doctor/ Physician:- Medical Practitioner means a person who holds a valid registration from the Medical Council of any State or Medical Council of India or Council for Indian Medicine or for Homeopathy set up by the Government of India or a State Government and is thereby entitled to practice medicine within its jurisdiction; and is acting within its scope and jurisdiction of license. 29. Medically Necessary Treatment:- Medically necessary treatment means any treatment, tests, medication, or stay in Hospital or part of a stay in Hospital which: i. is required for the medical management of the Illness or Injury suffered by the Insured; ii. must not exceed the level of care necessary to provide safe, adequate and appropriate medical care in scope, duration, or intensity; iii. must have been prescribed by a Medical Practitioner, iv. must conform to the professional standards widely accepted in international medical practice or by the medical community in India. 30. Migration:- Migration means, the right accorded to health insurance policyholders (including all members under family cover and members under family cover and members of group health insurance Policy), to transfer the credit gained for pre-existing conditions and time bound exclusions, with the same insurer. 31. Network Provider:- Network Provider means Hospitals or health care providers enlisted by an insurer, TPA or jointly by an Insurer and TPA to provide medical services to an Insured by a Cashless Facility. 32. New Born Baby:- New Born Baby means baby born during the Policy Period and is aged up to 90 days. 33. Non- Network Provider:- Non-Network Provider means any Hospital, Day Care Centre or other provider that is not part of the Network. 34. Notification of Claim:- Notification of claim means the process of intimating a claim to the insurer or TPA through any of the recognized modes of communication. 35. OPD treatment:- OPD treatment means the one"
454ec450-cb4b-4c5f-9c7a-909131143f45,hackrx-1.pdf,4,1,"by an insurer, TPA or jointly by an Insurer and TPA to provide medical services to an Insured by a Cashless Facility. 32. New Born Baby:- New Born Baby means baby born during the Policy Period and is aged up to 90 days. 33. Non- Network Provider:- Non-Network Provider means any Hospital, Day Care Centre or other provider that is not part of the Network. 34. Notification of Claim:- Notification of claim means the process of intimating a claim to the insurer or TPA through any of the recognized modes of communication. 35. OPD treatment:- OPD treatment means the one in which the Insured visits a clinic / Hospital or associated facility like a consultation room for diagnosis and treatment based on the advice of a Medical Practitioner. The Insured is not admitted as a Day Care Treatment or Inpatient. 36. Portability:- Portability means the right accorded to an individual health insurance policyholder (including all members under family cover) to transfer the credit gained for pre-existing conditions and time-bound exclusions from one insurer to another."
45fba95e-3d2e-4575-b56d-4362c4237ad8,hackrx-1.pdf,5,0,"UIN- BAJHLIP23020V012223 Global Health Care/ Policy Wordings/Page 5 Bajaj Allianz General Insurance Co. Ltd. Bajaj Allianz House, Airport Road, Yerawada, Pune - 411 006. Reg. No.: 113 For more details, log on to: www.bajajallianz.com | E-mail: bagichelp@bajajallianz.co.in or Call at: Sales - 1800 209 0144 / Service - 1800 209 5858 (Toll Free No.) GLOBAL HEALTH CARE 37. Pre-Existing Disease:- Pre-Existing Disease means any condition, ailment or Injury or disease a. That is/are diagnosed by a physician within 48 months prior to the effective date of the Policy issued by the insurer or b. For which medical advice or treatment was recommended by, or received from, a physician within 48 months prior to the effective date of the Policy or its reinstatement. 38. Pre-Hospitalization Medical Expenses:- Pre-Hospitalization Medical Expenses means medical expenses incurred during pre-defined number of days preceding the Hospitalization of the Insured, provided that: i. Such Medical Expenses are incurred for the same condition for which the Insured’s Hospitalization was required, and ii. The In-patient Hospitalization claim for such Hospitalization is admissible by the Insurance Company. 39. Post-Hospitalization Medical Expenses:- Post-Hospitalization Medical Expenses means medical expenses incurred during pre-defined number of days immediately after the Insured is discharged from the Hospital provided that: i. Such Medical Expenses are for the same condition for which the Insured’s Hospitalization was required, and ii. The Inpatient Hospitalization claim for such Hospitalization is admissible by the Insurance Company. 40. Reasonable and Customary Charges:- Reasonable and Customary Charges means the charges for services or supplies, which are the standard charges for the specific provider and consistent with the prevailing charges in the geographical area for identical or similar services, taking into account the nature of the Illness / Injury involved. 41. Qualified Nurse:- Qualified nurse means a person who holds a valid registration from the Nursing Council of India or the Nursing Council of any state in India. 42. Renewal:- Renewal means the terms on which the contract of insurance can be renewed on mutual consent with a provision of grace period for treating the renewal continuous for the purpose of gaining credit for pre-existing diseases, time-bound exclusions and for all waiting periods. 43. Room Rent:- Room Rent means the amount charged by a Hospital towards Room and Boarding expenses and shall include the associated medical expenses. 44. Surgery or Surgical Procedure:- Surgery or Surgical Procedure means manual and / or operative procedure (s) required for treatment of an Illness or Injury, correction of deformities and defects, diagnosis and cure of diseases, relief from suffering and prolongation of life, performed in a Hospital or Day Care Centre by a Medical Practitioner. 45. Unproven/Experimental Treatment:- Unproven/Experimental treatment means the treatment, including drug experimental therapy, which is not based on established medical practice in India, is treatment experimental or unproven. SECTION B) DEFINITIONS - SPECIFIC DEFINITIONS 1. Accidental shall be construed as per definition of Accident in Standard Definitions. 2. Act of Terrorism:- Means an act or thing by any person or group(s) of persons,"
a16921d6-0630-4e6e-8203-8b949f35f7cc,hackrx-1.pdf,5,1,"(s) required for treatment of an Illness or Injury, correction of deformities and defects, diagnosis and cure of diseases, relief from suffering and prolongation of life, performed in a Hospital or Day Care Centre by a Medical Practitioner. 45. Unproven/Experimental Treatment:- Unproven/Experimental treatment means the treatment, including drug experimental therapy, which is not based on established medical practice in India, is treatment experimental or unproven. SECTION B) DEFINITIONS - SPECIFIC DEFINITIONS 1. Accidental shall be construed as per definition of Accident in Standard Definitions. 2. Act of Terrorism:- Means an act or thing by any person or group(s) of persons, whether acting alone or on behalf of or in connection with or in connivance with or at the instance or instigation of any person or group(s) or organisation(s) or associations(s), who are committed or proclaimed to be committed for political, religious or ideological purposes, whether such person or group(s) of persons or organisation(s) or association(s) are or are not banned any law, in such a manner or with intent to threaten the unity, integrity, security or sovereignty of India or to strike terror in the people or any section of the people by using bombs, dynamite or other explosive substances or inflammable substances or firearms or other lethal weapons or poisons or noxious gases or other chemicals or by any other substances (whether biological or otherwise) of a hazardous nature or by any other means whatsoever, with"
